Video_title,Comment_id,Comment_content,Time,Username,Channel_user,Likes,Photo_thumbnails,Hearted_by_video_publisher
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgyKeDzqEixvjo3eOmx4AaABAg,肯定揀科目比揀大學對更影響工作前景,4 個月前,@HENRYKLCHAN,UCmm8APar1q0A_JpJVqkHhrg,10,https://yt3.ggpht.com/ytc/APkrFKZZ-Ox2xL5W0Beg7CxfBtPq_-9KsT-qTJH7NA=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgzR-JFJrEr92c-ewj14AaABAg,今年考18分，过了33222，大学基本上没什么科选,4 個月前,@user-hl3vs6eo5b,UC_3MIJxvZONyyp4ntPB6D-A,6,https://yt3.ggpht.com/ytc/APkrFKaMfR9xyWHxurAJYGE_66ysC_u5ZTH8cXTEdlRwCoIZplX9najqPgNDBwMSuEjaqjoKvkQ=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgwALySIcCqc-qsm5xV4AaABAg,"想睇阿添着校服多D,應該會好型~資訊性好充實!!!",4 個月前 (已編輯),@kahochan9313,UCzEsC_k_gn44skK4AbCflKg,11,https://yt3.ggpht.com/ytc/APkrFKYRXhLkBvh_WoloBMg-63OczsD-u15lJQ9rOw=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgwY-pnS6r5Aasckg7N4AaABAg,想睇校服!!!,4 個月前,@ohmygod64,UC3I9ROhi02m2AmvG9zvRTMw,4,https://yt3.ggpht.com/ytc/APkrFKbGWHrlh6xlBkrorDmXXbE-LZvSL2vOKsNkng=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugw8dyll9VgtPBNxM7p4AaABAg,小學畢業嘅我表示放榜加油😂,4 個月前,@ching_3177,UComCsfpeaO4F4xz2C2uelhw,3,https://yt3.ggpht.com/vcQOwLFnQgUdJCL2rZE4-9pf4jLZXdI3DmCxLh0T8G4-xjvu-kTURRDKubomTQXx5M-UneG1YQ=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugwu-MmTCf-2Ubv5uLF4AaABAg,係呀，我係今年畢業，但係小學畢業😂,4 個月前,@footballmusiclolofficial,UClGE7qqxoneyyb4Vr-gKXFg,11,https://yt3.ggpht.com/UohNX_5xtQC8IVpVKoWZhA_GAVFh2vrm6-Y9tdcYwHetNcyycKWRm6E7hSR9Ldwfk4TFb-gGXA=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgyqYUCxC85-E-Jc3Qt4AaABAg,有冇興趣挑戰今年數學卷,4 個月前,@dick3164,UC5xU38ekVYdYCo_UWarQs8w,9,https://yt3.ggpht.com/CI6VrgX4_kinZ0seo_uCOJpWiby0MH5adjeSwXCjDDyn-LZ0DBhd8YG0G3XjDzVy_pdAqcp2ew=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugyxm69fB0-BBgJ04qd4AaABAg,想睇Yuina 校服裝,4 個月前,@Benyeung129,UCGjebqCsGKuqcdXKmVdcR3A,9,https://yt3.ggpht.com/ytc/APkrFKb7IpgpajYTwGjRIiPuXvuOhBomhYy144qDug=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,UgxjvgFKnwMcuPYuIrZ4AaABAg,想睇yuina校服,4 個月前,@Ray-ul1st,UC2RUHpKcf5B2PdWeMcTlGjw,13,https://yt3.ggpht.com/ytc/APkrFKaMkOsrDEeemEjQ7JxlKpSvUF8V5Oen86y9TXggeA=s176-c-k-c0x00ffffff-no-rj,True
香港揀大學定學科重要啲？DSE失手點做好？成績比預期好應該轉神科嗎？DSE放榜過來人經驗分享 - YouTube,Ugwp_5x4tSFRLNbIpsZ4AaABAg,DSE Add Oils!💪,4 個月前,@tsangrickykahoCh,UC0ztcCTlrepOUBJcW-HDtxw,3,https://yt3.ggpht.com/DUDq2ukWYFja3BujCIDlvm_CGmwTw5Da3yDE5o1T5gLG1QZ41aXvCn5nkffvbBIJgxlMK6eQmQ=s176-c-k-c0x00ffffff-no-rj,True
